ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
0;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900044;171;2;173;0;3;0;176;261
1;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900045;172;3;175;0;0;0;175;261
2;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900046;165;1;166;0;0;0;166;261
3;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16352;900024;138;2;140;2;10;0;152;233
4;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16357;900027;127;0;127;0;5;0;132;237
5;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16357;900028;130;1;131;0;5;0;136;238
6;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16357;900029;139;0;139;0;3;0;142;238
7;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16714 SUWIKAI TSAKIM MIYAN PRIMARIA;900023;43;0;43;0;0;0;43;99
8;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16725;900030;135;3;138;5;21;0;164;276
9;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16725;900031;127;2;129;6;26;0;161;276
10;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 17088;900036;42;0;42;2;0;0;44;83
11;NACIONAL;AMAZONAS;BAGUA;IMAZA;IESTP TSAMAJAIN;307;90;3;93;0;5;0;98;300
12;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;658;101;0;101;0;4;0;105;300
13;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;659;68;1;69;0;0;0;69;300
14;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;660;96;3;99;0;1;0;100;300
15;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;661;144;1;145;1;10;0;156;300
16;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;662;122;3;125;0;2;0;127;300
17;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;663;114;2;116;1;3;0;120;300
18;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;665;85;2;87;0;3;0;90;300
19;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;666;122;3;125;0;6;0;131;300
20;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;667;130;2;132;0;3;0;135;300
21;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;669;91;3;94;0;2;0;96;300
22;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;671;126;3;129;0;1;0;130;300
23;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;672;98;2;100;0;5;0;105;300
24;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;673;102;3;105;0;2;0;107;300
25;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;675;85;2;87;0;2;0;89;300
26;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16347;900121;128;3;131;0;3;0;134;238
27;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16347;900123;131;2;133;0;2;0;135;238
28;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16348;900124;131;0;131;0;0;0;131;237
29;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16364;900125;127;0;127;0;1;0;128;250
